Kategorie;Points: perfect;Prop: perfect;perfect;Points: 4;Prop: 4;4;Points: 3;Prop: 3;3;Points: 2;Prop: 2;2;Points: 1;Prop: 1;1;Points: 0;Prop: 0;0
Einser;30;0,013;5,73;24;9,115;3,08;18;25,042;2,11;12;34,399;1,39;6;23,626;0,72;0;6,491;-10,00
Zweier;30;0,013;5,73;24;9,115;3,08;18;25,042;2,11;12;34,399;1,39;6;23,626;0,72;0;6,491;-10,00
Dreier;30;0,013;5,73;24;9,115;3,08;18;25,042;2,11;12;34,399;1,39;6;23,626;0,72;0;6,491;-10,00
Vierer;30;0,013;5,73;24;9,115;3,08;18;25,042;2,11;12;34,399;1,39;6;23,626;0,72;0;6,491;-10,00
Fuenfer;30;0,013;5,73;24;9,115;3,08;18;25,042;2,11;12;34,399;1,39;6;23,626;0,72;0;6,491;-10,00
Sechser;30;0,013;5,73;24;9,115;3,08;18;25,042;2,11;12;34,399;1,39;6;23,626;0,72;0;6,491;-10,00
Dreier Pasch;30;0,013;5,73;30;29,079358;3,53;30;74,319527;3,17;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!
Vierer Pasch;30;0,013;5,73;30;29,079358;3,53;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!
Full House;25;3,858;3,04;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!
Kleine Strasse;30;15,432;3,43;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!
Grosse Strasse;40;3,086;5,59;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!
Kniffel;50;0,077;11,86;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!;0;0;#ZAHL!
Chance;30;0,013;5,73;25;38,82;2,77;20;20,0000000;2,45;15;15,0000000;2,08;10;10,0000000;1,65;5;5,0000000;0,00
Ergebnis;415;22,57;75,49;229;151,668916;#ZAHL!;158;244,571527;;87;221,394;;46;151,756;;5;43,946;13
